epochs, train_loss, val_loss, train_acc, val_acc
0,1.730042,1.536441,0.360911,0.432600
1,1.497009,1.386441,0.451578,0.497000
2,1.419596,1.336740,0.484489,0.514200
3,1.365499,1.289228,0.506667,0.543600
4,1.328695,1.210567,0.527444,0.567400
5,1.301852,1.234140,0.536533,0.555400
6,1.273808,1.259290,0.550267,0.547400
7,1.251311,1.141495,0.559844,0.591000
8,1.223617,1.199247,0.565578,0.579600
9,1.214742,1.148211,0.573267,0.590400
10,1.210810,1.164755,0.577600,0.590600
11,1.193088,1.128719,0.577778,0.606400
12,1.174436,1.099493,0.588444,0.611600
13,1.160414,1.123063,0.596578,0.612800
14,1.143180,1.129815,0.600489,0.606000
15,1.146294,1.144706,0.600467,0.598200
16,1.135745,1.074602,0.600311,0.616000
17,1.119594,1.059472,0.608244,0.626400
18,1.133057,1.047591,0.606511,0.636600
19,1.118859,1.045048,0.612289,0.644000
20,1.113578,1.075355,0.610378,0.622800
21,1.104255,1.079435,0.614178,0.630600
22,1.091416,1.081699,0.617911,0.619000
23,1.095263,1.072509,0.620311,0.627200
24,1.081989,1.057745,0.621578,0.630200
25,1.087726,1.079734,0.620400,0.629800
26,1.076985,1.035042,0.626422,0.637200
27,1.084056,1.024587,0.619978,0.640800
28,1.065369,0.998181,0.629044,0.650600
29,1.069513,1.037386,0.628244,0.634600
