epochs, train_loss, val_loss, train_acc, val_acc
0,1.909792,1.588681,0.298800,0.405400
1,1.602069,1.529372,0.413489,0.437800
2,1.528217,1.403012,0.447933,0.497800
3,1.459508,1.378725,0.476156,0.509400
4,1.450775,1.380221,0.482489,0.514400
5,1.418896,1.429171,0.499044,0.510400
6,1.386073,1.293800,0.513378,0.552600
7,1.384206,1.369746,0.512489,0.537400
8,1.350641,1.339890,0.524556,0.532800
9,1.359983,1.407718,0.523978,0.527800
10,1.346064,1.252680,0.528422,0.563600
11,1.331211,1.309083,0.536267,0.537800
12,1.310555,1.324668,0.541578,0.544200
13,1.320467,1.231034,0.543222,0.580600
14,1.316671,1.211103,0.543467,0.577000
15,1.313691,1.259923,0.545400,0.577800
16,1.325413,1.203549,0.543400,0.590200
17,1.309893,1.279963,0.548267,0.565800
18,1.313782,1.300092,0.549133,0.557000
19,1.304352,1.221767,0.548511,0.590000
20,1.297497,1.201976,0.552556,0.585000
21,1.308976,1.314869,0.549489,0.564000
22,1.297517,1.209944,0.557356,0.578600
23,1.294279,1.347192,0.554311,0.526000
24,1.299697,1.228317,0.554778,0.574600
25,1.291794,1.256928,0.556311,0.570000
26,1.293767,1.229557,0.558133,0.578000
27,1.277901,1.216672,0.556889,0.583200
28,1.264129,1.237798,0.568289,0.577800
29,1.283054,1.254222,0.558556,0.583200
