epochs, train_loss, val_loss, train_acc, val_acc
0,1.724281,1.449464,0.368489,0.483800
1,1.434220,1.310355,0.482844,0.526800
2,1.353103,1.254469,0.514889,0.557000
3,1.292134,1.215613,0.535911,0.565800
4,1.246969,1.196350,0.554378,0.576600
5,1.198577,1.148625,0.571556,0.594400
6,1.175706,1.159639,0.584978,0.592200
7,1.165934,1.096993,0.587311,0.606600
8,1.130496,1.024601,0.599356,0.638600
9,1.109843,1.107519,0.607022,0.612600
10,1.090641,1.030465,0.615356,0.637200
11,1.079519,0.998241,0.618956,0.653000
12,1.071853,1.013691,0.623533,0.641400
13,1.050583,0.990593,0.627533,0.654200
14,1.051285,1.027526,0.628044,0.642000
15,1.031874,0.989401,0.636422,0.654200
16,1.038107,0.954300,0.636622,0.663000
17,1.009628,0.952316,0.642356,0.658400
18,1.015684,0.968587,0.643333,0.662200
19,1.013689,0.947249,0.644889,0.670600
20,1.003523,0.955931,0.647956,0.661000
21,0.989692,0.957081,0.651222,0.665000
22,0.980871,0.969697,0.655667,0.660800
23,0.982601,0.933243,0.652111,0.673400
24,0.972003,0.978145,0.656711,0.658600
25,0.964977,0.938798,0.657956,0.670400
26,0.967371,0.899308,0.657822,0.686000
27,0.961020,0.904261,0.660178,0.683600
28,0.944577,0.904807,0.666956,0.685600
29,0.954954,0.890846,0.664978,0.688400
