epochs, train_loss, val_loss, train_acc, val_acc
0,1.728965,1.424879,0.367178,0.484000
1,1.471675,1.372523,0.462467,0.496200
2,1.382860,1.293567,0.500933,0.548000
3,1.319403,1.232286,0.526400,0.557600
4,1.283797,1.236998,0.541000,0.546400
5,1.238888,1.197723,0.553133,0.574800
6,1.218510,1.132949,0.560778,0.598600
7,1.191884,1.144934,0.573222,0.587000
8,1.168000,1.106632,0.584178,0.602800
9,1.156485,1.102443,0.589422,0.614000
10,1.140734,1.142563,0.591778,0.594800
11,1.125986,1.044463,0.596889,0.631600
12,1.108614,1.055467,0.607289,0.630800
13,1.110519,1.052420,0.603756,0.627000
14,1.085837,1.030476,0.613378,0.645400
15,1.087077,1.028494,0.614289,0.638000
16,1.064929,1.064677,0.619889,0.619600
17,1.057939,1.034156,0.625178,0.634000
18,1.052658,1.024715,0.626511,0.639800
19,1.045206,1.019999,0.627956,0.645200
20,1.035249,1.060075,0.630956,0.624400
21,1.035260,0.990878,0.633200,0.648200
22,1.034867,0.991665,0.633956,0.646000
23,1.026186,0.980152,0.635889,0.655800
24,1.011323,1.037037,0.643689,0.631400
25,1.021426,0.977875,0.640156,0.656400
26,1.005968,0.944595,0.641933,0.669800
27,1.002931,0.966958,0.643089,0.658400
28,0.994166,0.941403,0.646267,0.675200
29,0.989363,1.041076,0.650178,0.636200
